participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;n
2;8;1;0,898968944898843;0,605730597312704;0,0493548242583002;1228
2;8;2;0,840781425995203;0,571662393934288;0,0453839665428203;1187
3;4;2;0,860822688621663;0,640792983159541;0,0328845198198337;1918
4;4;1;0,725733038474940;0,579485731413613;0,0478295177923190;1528
4;8;1;0,892758502903431;0,558088970422535;0,0506742340617154;1136
4;8;2;0,910502353181911;0,576193336193029;0,0553695389990072;1119
5;4;0;0,764476766680945;0,623582638198589;0,0132836419458720;1843
5;4;1;0,820356473191700;0,622478801910480;0,0136672959698606;1832
5;8;1;0,819934696906138;0,568508447074954;0,0551007022079118;1094
5;8;2;0,928032267253454;0,623326105576441;0,0548695074367605;1596
6;4;0;0,740986977045749;0,558490325667351;0,0343747237797540;974
6;4;1;0,727174256365236;0,596467105568446;0,0431144001920825;1724
6;8;0;0,812030934452851;0,561085681862270;0,0426597871060368;1031
7;4;0;0,823837451638640;0,614507457510730;0,0375590701892510;1631
7;8;1;0,945612957224775;0,675882890800000;0,0668628625050994;1000
8;4;0;0,894921724709230;0,629824918709328;0,0293388287164967;1844
8;4;1;0,766380743556077;0,651113363322368;0,0368157201459417;1824
8;4;2;0,758909103381368;0,587944932648649;0,0342061085890145;1850
8;8;0;0,845993273791317;0,616879623379461;0,0524064187091366;1373
8;8;2;0,701522656825641;0,588735837564767;0,0539094117314988;1158
9;4;0;0,821604925094729;0,612876746438746;0,0417461532891862;1755
9;4;1;0,863456589328824;0,622539961659600;0,0335776607369227;1651
9;4;2;0,832260039192101;0,615005939689441;0,0318628706876734;1610
9;8;0;0,744459318621942;0,581975112704650;0,0490721978562149;1527
9;8;1;0,805570548275196;0,563528888870246;0,0379368134306652;1788
9;8;2;0,714569196947598;0,567717193805919;0,0367748338917355;1453
11;4;0;0,656453504815039;0,618838056804408;0,0176234689193857;1815
11;4;1;0,860358667287361;0,594709996661007;0,0262862583335134;1767
11;4;2;0,866009816975168;0,594038662195122;0,0405785357151997;1804
11;8;0;0,791930602418048;0,595869184331337;0,0402501383707043;1002
13;4;2;0,812984658546628;0,611131571643454;0,0245652307993414;1795
13;8;0;0,740651299156076;0,634053223629630;0,0638245658525643;1350
13;8;1;0,793123681571394;0,639005382159265;0,0439029799321558;1306
13;8;2;0,929847106893370;0,649713724338624;0,0340577670536966;378
14;8;0;0,852874945889248;0,638278811380323;0,0502907741295195;1362
14;8;1;0,771333808303667;0,632925090541781;0,0461070152573635;1089
15;4;0;0,563295169859647;0,646426788592233;0,0728102140791969;1648
15;4;1;0,825549664266748;0,593427200565682;0,0399187033686916;1591
15;8;0;0,648119912724700;0,607889330782459;0,0512766848740198;1163
15;8;1;0,861959909689334;0,569228070819884;0,0491873090805250;1549
16;4;0;0,917384826280572;0,650045334498141;0,0623229358443540;1345
16;4;1;0,744617638750266;0,642682551069983;0,0650473629255925;1729
17;4;0;0,862562021261913;0,575574288645091;0,0168226393572472;1823
17;8;2;0,820585308006692;0,579869591904762;0,0249778228500641;1470
19;4;0;0,623697287481790;0,557135848398329;0,0442930223596130;1436
19;4;1;0,815084380756023;0,630480386287832;0,0637316174148710;1619
19;8;0;0,823515939355032;0,623108061042945;0,0531943273194930;1304
19;8;1;0,785143524578243;0,583467814207650;0,0420840567948430;915
19;8;2;0,764580976296542;0,550966725000000;0,0487105730452987;1336
20;4;0;0,734990168521271;0,707259999019608;0,0433164854582932;1734
20;4;1;0,776467716300003;0,695638401779096;0,0602524614930571;1349
20;8;2;0,892385931007440;0,638854138657407;0,0519289705130564;1728
21;4;0;0,704288033542107;0,608308536306461;0,0244041554284086;1749
21;4;1;0,610745784689998;0,612264213317619;0,0205148197007359;1697
21;4;2;0,834832771387271;0,612065156784741;0,0128307642222270;1835
21;8;0;0,812022604413757;0,590083066635774;0,0563980420001082;1079
21;8;1;0,927144233744095;0,602630565339233;0,0516196728796277;1356
21;8;2;0,752878049560140;0,615125846332046;0,0620770900389952;1036
22;4;0;0,773150098361140;0,602921839824465;0,0303155053649509;1823
22;4;1;0,738953378071325;0,616157562831858;0,0258994548081660;1808
23;4;0;0,857536931053880;0,607340424917492;0,0306053698604553;1212
23;4;1;0,872909365729993;0,612370383171706;0,0247797817265821;1753
23;4;2;0,765742188500845;0,601205152735230;0,0207672084569260;1828
24;4;1;0,749330728315109;0,627608297729790;0,0247723978809850;1806
24;4;2;0,891927891578730;0,628583087458380;0,0283664914716725;1802
24;8;0;0,876154264877556;0,535465382164634;0,0275316883700763;656
24;8;1;0,681542019583108;0,535548958528428;0,0212016170631042;1196
25;4;0;0,726289537745120;0,596260013340684;0,0505108612493239;1814
25;4;2;0,846430873121737;0,607221482461185;0,0467321707700263;1739
25;8;1;0,785222504817061;0,643529000630694;0,0521722764880437;1427
27;4;2;0,854716102714823;0,687559977922784;0,0310951676141314;1839
27;8;1;0,835880410500366;0,697854500658256;0,0401597678248584;1823
