participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Unfamiliar Adult;auc_4_Father;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Unfamiliar Adult;n_4_Father;n_4_Mother;n_8_Father
2;0,5985398981324278;0,7449823736780259;NA;NA;NA;NA;0,605730597312704;0,571662393934288;NA;NA;NA;NA;0,0493548242583002;0,0453839665428203;NA;NA;NA;NA;1228;1187;NA;NA;NA;NA
3;NA;NA;0,485881757283066;NA;NA;NA;NA;NA;0,640792983159541;NA;NA;NA;NA;NA;0,0328845198198337;NA;NA;NA;NA;NA;1918;NA;NA;NA
4;0,0921179153273442;0,4356300997280145;NA;0,6863680555555556;0,676347856719668;NA;0,558088970422535;0,576193336193029;NA;0,654733181666667;0,579485731413613;NA;0,0506742340617154;0,0553695389990072;NA;0,0769586177418956;0,0478295177923190;NA;1136;1119;NA;840;1528;NA
5;0,7318804959309629;0,7768031462040712;NA;0,9231390859297837;0,817414306940472;NA;0,568508447074954;0,623326105576441;NA;0,623582638198589;0,622478801910480;NA;0,0551007022079118;0,0548695074367605;NA;0,0132836419458720;0,0136672959698606;NA;1094;1596;NA;1843;1832;NA
6;NA;NA;NA;0,2932522011942111;0,702364318027752;0,726027813202162;NA;NA;NA;0,558490325667351;0,596467105568446;0,561085681862270;NA;NA;NA;0,0343747237797540;0,0431144001920825;0,0426597871060368;NA;NA;NA;974;1724;1031
7;0,9454626202812731;NA;NA;0,5806397306397306;NA;NA;0,675882890800000;NA;NA;0,614507457510730;NA;NA;0,0668628625050994;NA;NA;0,0375590701892510;NA;NA;1000;NA;NA;1631;NA;NA
8;NA;0,2136945333147865;0,705060300428204;0,7553806769697544;0,748639630353243;0,686948491688898;NA;0,588735837564767;0,587944932648649;0,629824918709328;0,651113363322368;0,616879623379461;NA;0,0539094117314988;0,0342061085890145;0,0293388287164967;0,0368157201459417;0,0524064187091366;NA;1158;1850;1844;1824;1373
9;0,5836977682476089;0,0360661505981703;0,889235245220283;0,1937360089542693;0,668749276871457;0,622018403411947;0,563528888870246;0,567717193805919;0,615005939689441;0,612876746438746;0,622539961659600;0,581975112704650;0,0379368134306652;0,0367748338917355;0,0318628706876734;0,0417461532891862;0,0335776607369227;0,0490721978562149;1788;1453;1610;1755;1651;1527
11;NA;NA;0,803942169540230;0,5355464254600600;0,341311666215381;0,779331100432018;NA;NA;0,594038662195122;0,618838056804408;0,594709996661007;0,595869184331337;NA;NA;0,0405785357151997;0,0176234689193857;0,0262862583335134;0,0402501383707043;NA;NA;1804;1815;1767;1002
13;0,8968895800933127;0,6996081504702194;0,901204504935426;NA;NA;0,658269533021339;0,639005382159265;0,649713724338624;0,611131571643454;NA;NA;0,634053223629630;0,0439029799321558;0,0340577670536966;0,0245652307993414;NA;NA;0,0638245658525643;1306;378;1795;NA;NA;1350
14;0,6865525236311754;NA;NA;NA;NA;0,227458831321311;0,632925090541781;NA;NA;NA;NA;0,638278811380323;0,0461070152573635;NA;NA;NA;NA;0,0502907741295195;1089;NA;NA;NA;NA;1362
15;0,6898083216456288;NA;NA;0,3548433719797656;0,580084429824561;0,498028625438833;0,569228070819884;NA;NA;0,646426788592233;0,593427200565682;0,607889330782459;0,0491873090805250;NA;NA;0,0728102140791969;0,0399187033686916;0,0512766848740198;1549;NA;NA;1648;1591;1163
16;NA;NA;NA;0,0473220226214238;0,469063052445492;NA;NA;NA;NA;0,650045334498141;0,642682551069983;NA;NA;NA;NA;0,0623229358443540;0,0650473629255925;NA;NA;NA;NA;1345;1729;NA
17;NA;0,7767531876138434;NA;0,8750343673420596;NA;0,643424467513872;NA;0,579869591904762;NA;0,575574288645091;NA;0,579004585413416;NA;0,0249778228500641;NA;0,0168226393572472;NA;0,0255051535523064;NA;1470;NA;1823;NA;1282
19;0,8266193895166353;0,6735580759520166;NA;0,8096710005216081;0,566001662510391;0,955528529441573;0,583467814207650;0,550966725000000;NA;0,557135848398329;0,630480386287832;0,623108061042945;0,0420840567948430;0,0487105730452987;NA;0,0442930223596130;0,0637316174148710;0,0531943273194930;915;1336;NA;1436;1619;1304
20;NA;0,7911324786324786;NA;0,2854017760450509;0,377940476190476;NA;NA;0,638854138657407;NA;0,707259999019608;0,695638401779096;NA;NA;0,0519289705130564;NA;0,0433164854582932;0,0602524614930571;NA;NA;1728;NA;1734;1349;NA
21;0,8002866242038217;0,4209358532429969;0,282492687168946;0,3622820531444365;0,457595014053526;0,494188638750973;0,602630565339233;0,615125846332046;0,612065156784741;0,608308536306461;0,612264213317619;0,590083066635774;0,0516196728796277;0,0620770900389952;0,0128307642222270;0,0244041554284086;0,0205148197007359;0,0563980420001082;1356;1036;1835;1749;1697;1079
22;NA;NA;NA;0,6247027112731885;0,576458333333333;NA;NA;NA;NA;0,602921839824465;0,616157562831858;NA;NA;NA;NA;0,0303155053649509;0,0258994548081660;NA;NA;NA;NA;1823;1808;NA
23;NA;NA;0,138803295241573;0,4367999551971326;0,386595310907238;NA;NA;NA;0,601205152735230;0,607340424917492;0,612370383171706;NA;NA;NA;0,0207672084569260;0,0306053698604553;0,0247797817265821;NA;NA;NA;1828;1212;1753;NA
24;0,8369257045260461;NA;0,544932810750280;NA;0,445272728739583;0,785276073619632;0,535548958528428;NA;0,628583087458380;NA;0,627608297729790;0,535465382164634;0,0212016170631042;NA;0,0283664914716725;NA;0,0247723978809850;0,0275316883700763;1196;NA;1802;NA;1806;656
25;0,2129730421976052;NA;0,544212205430117;0,3736834774409908;NA;NA;0,643529000630694;NA;0,607221482461185;0,596260013340684;NA;NA;0,0521722764880437;NA;0,0467321707700263;0,0505108612493239;NA;NA;1427;NA;1739;1814;NA;NA
27;0,8627203091895416;0,6416070560455587;0,837944231820667;NA;NA;NA;0,697854500658256;0,715209531192130;0,687559977922784;NA;NA;NA;0,0401597678248584;0,0355418123444738;0,0310951676141314;NA;NA;NA;1823;1728;1839;NA;NA;NA
28;NA;NA;NA;0,6121054163836247;0,306619250501960;NA;NA;NA;NA;0,619050344342291;0,631617703069926;NA;NA;NA;NA;0,0411771490727169;0,0362530122337561;NA;NA;NA;NA;1414;1759;NA
29;0,8488875154511742;0,6362429309073027;NA;NA;NA;0,794748055548425;0,548879960642093;0,531526807585335;NA;NA;NA;0,563215083155300;0,0335396964656926;0,0298999120433141;NA;NA;NA;0,0508521184626478;841;791;NA;NA;NA;1217
30;NA;NA;0,634564721035068;NA;NA;0,300000000000000;NA;NA;0,615639775501114;NA;NA;0,597266629763961;NA;NA;0,0300247502399411;NA;NA;0,0407156199208458;NA;NA;1796;NA;NA;1737
31;NA;0,5163206201404564;NA;0,6467248908296943;0,539382471095434;0,643072114020439;NA;0,573283225579937;NA;0,666988127850163;0,658136225876461;0,591986176956522;NA;0,0540433595298850;NA;0,0226566826891596;0,0254964031764715;0,0572254668450332;NA;1595;NA;1842;1797;1380
32;0,6529939176581773;0,5125073651507848;NA;NA;NA;NA;0,631192496380619;0,619770092051140;NA;NA;NA;NA;0,0444074550774328;0,0470134790102372;NA;NA;NA;NA;1713;1799;NA;NA;NA;NA
33;0,3955548847344242;NA;NA;0,4899354982206406;0,658002191982775;0,521628237827307;0,597532881877445;NA;NA;0,612683644394213;0,615443317161017;0,559756632692308;0,0531777889341411;NA;NA;0,0272608420596713;0,0481583258758946;0,0344778364379250;1534;NA;NA;1106;1416;624
34;NA;NA;NA;NA;0,359452520221617;0,553082657669913;NA;NA;NA;NA;0,649204131364903;0,629306539516129;NA;NA;NA;NA;0,0243034572386529;0,0335962203977145;NA;NA;NA;NA;1795;868
35;0,5766619605917378;0,4916090265154375;0,688321359733660;0,6679680970461113;0,739730226854690;0,399394717534850;0,611251933689503;0,608381384951456;0,613510730808081;0,576164141826135;0,623358873115981;0,583253580306346;0,0488536374588273;0,0355533718580922;0,0260860782793334;0,0144172018794663;0,0245631467245840;0,0516275510716828;1591;1648;1782;1829;1871;1371
36;NA;0,4078308823529412;NA;0,8381022805212620;0,219392718176765;0,781832777872382;NA;0,636794188405797;NA;0,622932710998878;0,600684729821261;0,642089317226891;NA;0,0615151202659451;NA;0,0264627652980239;0,0212108801714859;0,0614710303289178;NA;1380;NA;1782;2126;1666
