participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Father;auc_4_Unfamiliar Adult;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Father;n_4_Unfamiliar Adult;n_4_Mother;n_8_Father
2;0,838701219245728;0,888027126579228;NA;NA;NA;NA;0,605730597312704;0,571662393934288;NA;NA;NA;NA;0,0493548242583002;0,0453839665428203;NA;NA;NA;NA;1228;1187;NA;NA;NA;NA
3;NA;NA;0,542113901591026;0,902803420887619;NA;NA;NA;NA;0,661109161213133;0,640792983159541;NA;NA;NA;NA;0,0303883121212460;0,0328845198198337;NA;NA;NA;NA;1797;1918;NA;NA
4;0,560566249108871;0,880751050132158;NA;NA;0,764866457946815;0,867455309200460;0,558088970422535;0,576193336193029;NA;NA;0,579485731413613;0,619633354607768;0,0506742340617154;0,0553695389990072;NA;NA;0,0478295177923190;0,0624498487058916;1136;1119;NA;NA;1528;1313
5;0,745577942735949;0,968294386156152;0,793063086777222;0,776380246259764;0,906746586746587;0,846399644537722;0,568508447074954;0,623326105576441;0,623582638198589;0,603683275386997;0,622478801910480;0,577317766920732;0,0551007022079118;0,0548695074367605;0,0132836419458720;0,0419370750454351;0,0136672959698606;0,0448380206977207;1094;1596;1843;1292;1832;1312
6;0,761732421253579;0,856163013917773;0,771222966212576;0,801684224049332;0,873864041171165;0,736393022179393;0,539023201910828;0,550347615125241;0,558490325667351;0,605568655684327;0,596467105568446;0,561085681862270;0,0342724690204062;0,0474502318716082;0,0343747237797540;0,0434166477336902;0,0431144001920825;0,0426597871060368;785;1038;974;1812;1724;1031
7;0,824424342105263;NA;0,815801963380211;0,968303948332331;NA;0,960832313341493;0,675882890800000;NA;0,614507457510730;0,614769826128134;NA;0,595255514893617;0,0668628625050994;NA;0,0375590701892510;0,0280734667799372;NA;0,0328837403898836;1000;NA;1631;1795;NA;987
8;NA;0,640653817267140;0,753670991140542;0,823335520820904;0,656843883963503;0,872483883902409;NA;0,588735837564767;0,629824918709328;0,587944932648649;0,651113363322368;0,616879623379461;NA;0,0539094117314988;0,0293388287164967;0,0342061085890145;0,0368157201459417;0,0524064187091366;NA;1158;1844;1850;1824;1373
9;0,844139509962813;0,644670991658943;0,949419820549147;0,908936292479018;0,878860029108275;0,777959284527846;0,563528888870246;0,567717193805919;0,612876746438746;0,615005939689441;0,622539961659600;0,581975112704650;0,0379368134306652;0,0367748338917355;0,0417461532891862;0,0318628706876734;0,0335776607369227;0,0490721978562149;1788;1453;1755;1610;1651;1527
11;NA;NA;0,444803572543876;0,626655936256799;0,392710707892845;0,714823926759018;NA;NA;0,618838056804408;0,594038662195122;0,594709996661007;0,595869184331337;NA;NA;0,0176234689193857;0,0405785357151997;0,0262862583335134;0,0402501383707043;NA;NA;1815;1804;1767;1002
13;0,812763839107925;0,619090635350798;0,536177842530396;0,645381288249969;0,711933760272420;0,753695435432832;0,639005382159265;0,649713724338624;0,601422683551402;0,611131571643454;0,588284508425980;0,634053223629630;0,0439029799321558;0,0340577670536966;0,0208173021321861;0,0245652307993414;0,0193958202113169;0,0638245658525643;1306;378;1605;1795;1709;1350
14;0,687978705297199;0,848460819392064;0,830083783687901;0,843761240130694;0,672960097831344;0,905170122275385;0,632925090541781;0,609960417211838;0,589610045167173;0,628899392473713;0,617999527827648;0,638278811380323;0,0461070152573635;0,0448817129838228;0,0293448776291446;0,0204860793340393;0,0320229990900828;0,0502907741295195;1089;1284;1645;1807;1671;1362
15;0,838191003594676;NA;0,695003183952878;0,993616741247697;0,907136449077239;0,802558870210216;0,569228070819884;NA;0,646426788592233;0,554989644372038;0,593427200565682;0,607889330782459;0,0491873090805250;NA;0,0728102140791969;0,0407150791790905;0,0399187033686916;0,0512766848740198;1549;NA;1648;1688;1591;1163
16;NA;NA;0,694490354150277;0,640790093268015;0,780374324502438;NA;NA;NA;0,650045334498141;0,660299081812298;0,642682551069983;NA;NA;NA;0,0623229358443540;0,0469927665585265;0,0650473629255925;NA;NA;NA;1345;1545;1729;NA
17;0,995780341569767;0,663313721768837;0,892733258663408;0,887349170437406;0,948045571867253;NA;0,614506224348958;0,579869591904762;0,575574288645091;0,592700295950324;0,573385962631871;NA;0,0224055272155922;0,0249778228500641;0,0168226393572472;0,0114218513423845;0,0146826317596842;NA;1536;1470;1823;1852;1801;NA
18;0,915275497172049;0,767702323578399;0,722811764189713;0,855908062279877;0,955442561205273;0,862908861774646;0,615571520058997;0,632142842874324;0,589325211677534;0,579304892712551;0,574770546777055;0,649077055016722;0,0414826991577653;0,0490427950999020;0,0276736772161229;0,0302013669986118;0,0322317861425548;0,0555548870797049;678;1663;1687;1482;1691;1196
19;0,904508113736947;0,832438363197932;0,658176974661811;0,676988205759757;0,898777056174748;0,904109429433628;0,583467814207650;0,550966725000000;0,557135848398329;0,562471602351314;0,630480386287832;0,623108061042945;0,0420840567948430;0,0487105730452987;0,0442930223596130;0,0537618951284424;0,0637316174148710;0,0531943273194930;915;1336;1436;1446;1619;1304
20;0,836305083875532;0,805811463499291;0,816614462458953;0,940109676001397;0,794812071194193;0,747903046320768;0,666769042481203;0,638854138657407;0,707259999019608;0,714764742613636;0,695638401779096;0,622686736999068;0,0555112523750641;0,0519289705130564;0,0433164854582932;0,0433287933520259;0,0602524614930571;0,0622835917465039;1596;1728;1734;1760;1349;1073
21;0,917695384341166;0,825827255694399;0,828330319469560;0,577270018684198;0,569988809077660;0,857835719257892;0,602630565339233;0,615125846332046;0,608308536306461;0,612065156784741;0,612264213317619;0,590083066635774;0,0516196728796277;0,0620770900389952;0,0244041554284086;0,0128307642222270;0,0205148197007359;0,0563980420001082;1356;1036;1749;1835;1697;1079
22;0,744721242880942;0,718674796747968;0,850338062708005;0,666533546325879;0,788049278608604;0,525233007501705;0,590120079937500;0,579270480371517;0,602921839824465;0,614219593058824;0,616157562831858;0,557223434170472;0,0421112742080827;0,0490210894602653;0,0303155053649509;0,0237636280724876;0,0258994548081660;0,0417032832114735;1600;1615;1823;1700;1808;1314
23;NA;NA;0,883774397535865;0,788544524436978;0,940004520795660;0,904999456074098;NA;NA;0,607340424917492;0,601205152735230;0,612370383171706;0,620788554239878;NA;NA;0,0306053698604553;0,0207672084569260;0,0247797817265821;0,0429111831603668;NA;NA;1212;1828;1753;1309
24;0,463533341023824;0,723900637797919;0,869835392740589;0,963379372453650;0,753274569919945;0,841104748548946;0,535548958528428;0,545730743964232;0,656731221403092;0,628583087458380;0,627608297729790;0,535465382164634;0,0212016170631042;0,0292790381542769;0,0559676388606811;0,0283664914716725;0,0247723978809850;0,0275316883700763;1196;671;1682;1802;1806;656
25;0,815888746106767;NA;0,753260980505563;0,910282618152496;0,915832283304706;0,933534547247074;0,643529000630694;NA;0,596260013340684;0,607221482461185;0,649563913289401;0,678075700362319;0,0521722764880437;NA;0,0505108612493239;0,0467321707700263;0,0299767765396628;0,0451480358157933;1427;NA;1814;1739;1821;1104
26;0,867178474811728;0,697537597537598;NA;NA;NA;NA;0,615051246387833;0,592138499432279;NA;NA;NA;NA;0,0640787258344529;0,0603905418218105;NA;NA;NA;NA;526;1233;NA;NA;NA;NA
27;0,941698081291383;0,875887742184650;0,925728170409232;0,895963837596560;0,814013823574880;NA;0,697854500658256;0,715209531192130;0,685944353187919;0,687559977922784;0,671136764549972;NA;0,0401597678248584;0,0355418123444738;0,0305418125114560;0,0310951676141314;0,0217580373058013;NA;1823;1728;1788;1839;1811;NA
